,,latitude,longitude,Conc.,,,
Dhaka,S-1,23.790536,90.400294,1932.016211,,,
,S-2,23.989897,90.382117,1886.194203,,,
,S-3,23.623892,90.499464,1529.074246,,,
,S-4,23.931022,90.724697,1483.876005,,,
,S-5,23.736719,89.655164,1682.105526,,,
,S-6,23.871119,89.999656,2033.765609,,,
,S-7,24.242911,89.909325,1702.189501,,,
,S-8,24.433606,90.785258,2334.267081,,,
,S-9,23.021344,89.841508,1958.022527,,,
,S-10,23.219586,90.348269,1769.15428,,,
Khulna,S-11,22.81595,89.543031,959.9014423,,,
,S-12,23.160119,89.223011,1706.958716,,,
,S-13,23.496611,89.432792,1527.836134,,,
,S-14,23.173442,89.500428,1426.562648,,,
,S-15,22.647058,89.793094,1220.854209,,,
,S-16,23.908944,89.122042,1212.658627,,,
,S-17,23.769422,88.635942,1331.06379,,,
,S-18,22.721653,89.068261,998.8291747,,,
,S-19,23.645253,88.845128,1123.483957,,,
,S-20,23.553856,89.173792,830.1066398,,,
Chittagong,S-21,22.374756,91.850172,1354.832827,,,
,S-22,23.0094,91.381067,1312.765193,,,
,S-23,23.466728,91.165894,1111.379562,,,
,S-24,21.426802,92.004282,1038.437288,,,
,S-25,22.869433,91.096883,1095.405405,,,
,S-26,23.996654,91.10922,1000.2425,,,
,S-27,23.23331,90.665109,930.5629454,,,
,S-28,23.113699,91.979605,803.8105516,,,
,S-29,22.660481,92.167477,1388.687671,,,
,S-30,22.195086,92.21953,1050.506562,,,
Sylhet,S-31,24.882634,91.869283,1252.57377,,,
,S-32,24.935967,91.982017,918.4454545,,,
,S-33,24.802736,91.913369,1066.98017,,,
,S-34,25.071392,91.399167,1032.132075,,,
,S-35,25.045278,91.388892,869.9896194,,,
,S-36,24.489483,91.764911,880.0118577,,,
,S-37,24.442225,91.833258,844.8965517,,,
,S-38,24.389519,91.412664,1171.866397,,,
,S-39,24.335156,91.4342,889.2239382,,,
,S-40,24.335156,91.4342,1055.041199,,,
Rajshahi,S-41,24.374564,88.604228,994.9907834,,,
,S-42,24.739975,88.292044,1525.056098,,,
,S-43,25.09445,89.105761,1356.432432,,,
,S-44,24.911644,88.752906,1908.873786,,,
,S-45,24.411983,88.996369,1428.271218,,,
,S-46,24.215594,89.383242,1305.343195,,,
,S-47,24.451539,89.702083,1384.087121,,,
,S-48,24.858383,89.350378,1162.721739,,,
,S-49,24.579594,88.823619,947.1582734,,,
,S-50,24.25155,88.717794,1109.793419,,,
Barishal,S-51,22.701992,90.3702,1560.267164,,,
,S-52,22.357969,90.339442,1628.240336,,,
,S-53,22.49765,90.717444,990.8298263,,,
,S-54,22.160458,90.120739,1466.135989,,,
,S-55,22.639478,90.196369,1193.879421,,,
,S-56,22.579322,89.968781,2121.035806,,,
,S-57,22.375875,90.003325,1667.415172,,,
,S-58,22.282478,90.559922,1364.320937,,,
,S-59,22.171186,90.408919,1077.314038,,,
,S-60,22.509042,90.198853,1604.682203,,,
Rangpur,S-61,25.770678,89.2286,1182.122047,,,
,S-62,25.524397,89.151322,1035.995169,,,
,S-63,25.329647,89.542828,1212.359914,,,
,S-64,25.622108,88.643822,1754.762172,,,
,S-65,26.032222,88.462531,1414.026379,,,
,S-66,26.277028,88.559164,1913.642857,,,
,S-67,25.813283,89.648406,1641.968142,,,
,S-68,25.915825,88.865758,925.1252174,,,
,S-69,25.905583,89.433653,828.5136054,,,
,S-70,25.654267,88.915914,1503.796117,,,
mymensingh,S-71,24.747169,90.420286,1050.24173,,,
,S-72,24.916128,89.950975,1682.342365,,,
,S-73,24.867869,90.729033,1266.461883,,,
,S-74,25.019117,90.013861,1293.817757,,,
,S-75,25.009906,90.645397,1113.501144,,,
,S-76,24.816033,90.396533,1315.643006,,,
,S-77,25.091603,90.191994,1236.154,,,
,S-78,24.725547,90.715964,1149.185882,,,
,S-79,24.956725,90.529933,1062.533816,,,
,S-80,24.955961,90.309892,1027.842975,,,
,,,,,,,
